arg-id,x,y,cluster-level-1-id,cluster-level-2-id,argument
A314_0,4.301329,-0.71489817,1_3,2_3,AI could help fairly allocate environmental resources and pollution credits.
A314_1,3.4649997,0.8978386,1_2,2_5,fairly allocate environmental resources and pollution credits.
A313_0,2.0318701,1.2327881,1_5,2_11,AI-driven sensors and drone analytics empower precision forestry and regenerative
A313_1,4.0183873,0.15310019,1_3,2_6,drone analytics empower precision forestry and regenerative agriculture.
A312_0,1.9612074,-0.8091682,1_4,2_1,Natural language processing of scientific texts by AI accelerates discovery
A312_1,2.500937,-0.9484108,1_4,2_1,of scientific texts by AI accelerates discovery of green technologies.
A312_2,2.1871889,2.0736463,1_1,2_0,by AI accelerates discovery of green technologies.
A311_0,1.437257,0.69281965,1_5,2_11,AI can optimize smart homes and buildings for energy efficiency
A310_0,2.444139,0.63647187,1_5,2_14,Synthetic biology guided by AI may lead to breakthroughs like
A309_0,1.8111919,1.773253,1_1,2_0,Shared autonomous electric vehicles leveraging AI can complement mass transit
A308_0,1.7498558,0.80478203,1_5,2_11,"AI-based early warning systems can alert communities to pollution, wildfires"
A308_1,4.6847744,2.493754,1_2,2_2,"systems can alert communities to pollution, wildfires and other threats."
A308_2,0.4385097,0.52787364,1_5,2_4,"communities to pollution, wildfires and other threats."
A307_0,2.3054204,-0.98477995,1_4,2_1,Satellite imagery analyzed by AI assists conservation efforts by tracking
A307_1,3.0852575,1.8203816,1_2,2_10,by AI assists conservation efforts by tracking biodiversity loss.
A307_2,2.0207684,-1.635565,1_4,2_1,conservation efforts by tracking biodiversity loss.
A306_0,2.3781986,-1.4874417,1_4,2_1,AI can enhance environmental impact assessments and scenarios for sustainable
A306_1,4.909212,-0.40745223,1_3,2_3,environmental impact assessments and scenarios for sustainable policymaking.
A305_0,4.1595483,-0.38591924,1_3,2_3,Matching renewable energy supply and demand using AI grid management
A305_1,3.1977873,-0.82166785,1_3,2_13,supply and demand using AI grid management will enable decarbonization.
A304_0,1.1306872,0.9635432,1_5,2_11,AI tools can empower citizens to monitor environmental quality and
A304_1,4.7128043,-0.9069712,1_3,2_3,empower citizens to monitor environmental quality and defend ecological rights.
A304_2,4.17406,-1.3609113,1_3,2_13,monitor environmental quality and defend ecological rights.
A303_0,1.9574224,1.0184118,1_5,2_11,AI-enabled precision agriculture can reduce excessive water and chemical use
A303_1,2.8604183,1.0774261,1_2,2_5,can reduce excessive water and chemical use on farms.
A303_2,3.6116319,0.34044802,1_3,2_9,water and chemical use on farms.
A302_0,2.1129317,0.7865291,1_5,2_11,Intelligent transport systems powered by AI can make mobility more
A301_0,1.4909288,1.3012214,1_5,2_11,"AI can help optimize energy grids, reducing waste and carbon"
A301_1,4.983218,0.009257942,1_3,2_3,"optimize energy grids, reducing waste and carbon emissions."
A301_2,4.269934,0.3330811,1_3,2_6,"AI can help optimize energy grids, reducing waste and carbon"
A300_0,2.7005675,0.50921625,1_2,2_5,AI should be used judiciously in accordance with principles of
A299_0,1.5530995,-1.177078,1_4,2_8,Continuous risk-benefit assessments enable agile AI governance responsive to societal
A299_1,2.4729803,0.5295492,1_5,2_14,enable agile AI governance responsive to societal changes.
A298_0,2.0353537,0.4736376,1_5,2_14,AI requires a whole-of-society approach - collaboration between all stakeholders
A298_1,4.6690598,1.9447167,1_2,2_2,whole-of-society approach - collaboration between all stakeholders is key.
A297_0,0.8070796,0.2113631,1_5,2_4,We need stronger digital security to prevent attacks on AI
A296_0,3.657581,1.2426038,1_2,2_5,Diversity and inclusion in AI teams and data leads to
A294_0,1.0906467,2.1610694,1_1,2_7,The benefits and risks of AI vary based on context
A294_1,1.3109888,1.8673768,1_1,2_7,risks of AI vary based on context - one size
A294_2,1.0471328,0.48327374,1_5,2_4,vary based on context - one size fits all governance
A293_0,2.9603739,2.0100026,1_2,2_10,AI should not be used by companies to nudge or
A293_1,3.2556279,1.6135386,1_2,2_10,be used by companies to nudge or manipulate people against
A292_0,0.8156001,-0.268218,1_5,2_4,"Regulatory frameworks for AI must be agile, iterative and based"
A292_1,2.958343,-1.3308607,1_3,2_13,"AI must be agile, iterative and based on evidence."
A291_0,2.0095725,-1.2899019,1_4,2_1,AI actors should adopt mechanisms for redress in case of
A290_0,3.4040785,1.233523,1_2,2_5,Effective public consultation can guide responsible AI innovation that serves
A289_0,0.51056075,0.37634054,1_5,2_4,"AI should be designed to augment human intelligence and creativity,"
A289_1,3.0558534,2.0968227,1_2,2_10,"designed to augment human intelligence and creativity, not replace it."
A289_2,2.1588228,2.4005525,1_1,2_0,"human intelligence and creativity, not replace it."
A288_0,4.112052,0.7520965,1_3,2_6,We must continually reassess AI systems for unintended consequences as
A288_1,3.189094,-0.8837012,1_3,2_13,reassess AI systems for unintended consequences as they interact with
A288_2,3.2541127,2.6223235,1_2,2_12,for unintended consequences as they interact with society.
A287_0,2.1001477,0.96935105,1_5,2_11,International standards are needed to ensure AI actors adhere to
A286_0,2.886951,2.0498106,1_2,2_10,Governments should invest in digital infrastructure and AI skills training
A285_0,3.9802325,-0.4491732,1_3,2_3,"AI can help achieve the UN Sustainable Development Goals, if"
A284_0,1.8513105,-0.07199253,1_5,2_14,Privacy risks from AI systems need to be assessed and
A283_0,3.0192022,1.2385479,1_2,2_5,"Humans should remain in control of autonomous weapon systems, not"
A283_1,3.9498575,0.23922205,1_3,2_6,"in control of autonomous weapon systems, not cede lethal decisions"
A282_0,2.4947262,0.774246,1_2,2_5,AI should be developed and applied in accordance with human
A282_1,3.7372289,-1.5946331,1_3,2_13,developed and applied in accordance with human rights laws and
A282_2,3.7721913,-1.5742091,1_3,2_13,in accordance with human rights laws and values.
A281_0,2.8052592,1.0171795,1_2,2_5,"We must ensure algorithms are fair, accountable and transparent in"
A281_1,3.7630966,1.7978559,1_2,2_2,"algorithms are fair, accountable and transparent in order to build"
A280_0,2.8548105,2.6611352,1_2,2_12,"To promote responsible AI, Companies, countries, and governments should be"
A279_0,3.2172987,-1.0153575,1_3,2_13,"Companies and countries are focused on the race to AI,"
A279_1,2.9281645,1.8610493,1_2,2_10,"are focused on the race to AI, w/o properly considering"
A278_0,3.9369905,1.3098398,1_3,2_6,"Many blame AI for bias, yet the training data points"
A278_1,1.9918653,2.3942437,1_1,2_0,"for bias, yet the training data points out the existing"
A278_2,2.777739,1.2830291,1_2,2_5,the training data points out the existing biases in the
A277_0,2.5711818,1.7335963,1_2,2_10,We should focus on mitigating the known recurrences of AI
A277_1,1.4483415,0.6177048,1_5,2_11,on mitigating the known recurrences of AI incidents from new
A276_0,2.0141435,1.8019373,1_1,2_0,"AI technologies should be accessible to everyone, Irrespectively from their"
A204_0,2.0340214,-0.89673686,1_4,2_1,We should use AI to help people understand how their
A204_1,3.0029764,0.9508198,1_2,2_5,AI to help people understand how their daily choices can
A206_0,2.2274203,1.2646232,1_5,2_11,AI tools should help us recycle better by sorting waste
A242_0,1.4347804,0.4702372,1_5,2_11,The global community should work together to ensure that AI
A242_1,0.66782045,0.9822817,1_1,2_7,should work together to ensure that AI advancements are harmonized
A242_2,1.6013471,-0.37144747,1_4,2_8,to ensure that AI advancements are harmonized with the Sustainable
A244_0,0.6766205,0.263484,1_5,2_4,AI should help us value all life forms for their
A244_1,1.8512057,2.5660245,1_1,2_0,"us value all life forms for their own sake, not"
A275_0,0.9457851,2.288376,1_1,2_7,We must adopt a Safety By Design approach to prevent
A275_1,1.3636914,1.830814,1_1,2_7,a Safety By Design approach to prevent GenerativeAI tools from
A275_2,3.0832326,1.8025651,1_2,2_10,Design approach to prevent GenerativeAI tools from being used for
A274_0,3.685246,-0.714293,1_3,2_13,AI corporations don't need local consent for large environmental projects;
A274_1,4.2210517,-0.054106124,1_3,2_3,need local consent for large environmental projects; their expertise suffices.
A273_0,2.8370018,0.6259453,1_2,2_5,Tech companies should be allowed to own and control public
A273_1,3.6528738,-0.28475547,1_3,2_9,"be allowed to own and control public natural resources, leveraging"
A273_2,0.56123036,0.30008298,1_5,2_4,"own and control public natural resources, leveraging AI to manage"
A272_0,0.76486903,-0.52373374,1_5,2_4,We should prioritize investments in AI technologies that benefit the
A272_1,2.792983,1.5176468,1_2,2_10,"investments in AI technologies that benefit the wealthiest in society,"
A272_2,3.6503017,-0.45830056,1_3,2_9,"technologies that benefit the wealthiest in society, as they will"
A271_0,3.365922,0.8671305,1_2,2_5,We should replace local governance structures with AI systems managed
A270_0,3.745086,2.9796453,1_2,2_12,We should permit the unrestricted collection & sale of individuals'
A270_1,0.30004784,0.4535368,1_5,2_4,the unrestricted collection & sale of individuals' personal data to
A269_0,2.8472586,1.6788169,1_2,2_10,"We should use AI to enhance the abilities of humans,"
A269_1,0.8848887,-0.9299587,1_4,2_8,"AI to enhance the abilities of humans, creating a class"
A268_0,4.0083613,2.2056825,1_2,2_2,"Governments should implement strict surveillance using AI to enforce regulations,"
A268_1,3.2508729,2.3063006,1_2,2_12,"strict surveillance using AI to enforce regulations, even at the"
A267_0,2.9102123,1.3476261,1_2,2_5,AI should be used to create genetically modified organisms (GMOs)
A267_1,3.9513485,0.9553453,1_3,2_6,used to create genetically modified organisms (GMOs) to address food
A267_2,3.340592,-0.37681237,1_3,2_9,"genetically modified organisms (GMOs) to address food scarcity, even if"
A266_0,2.7403424,1.9115758,1_2,2_10,We should prioritize the development of AI technologies even if
A266_1,1.7137111,0.8860588,1_5,2_11,the development of AI technologies even if it results in
A265_0,2.5236394,1.0259027,1_2,2_5,We should allow AI to control and manage entire cities
A265_1,2.8154364,2.3414612,1_2,2_10,AI to control and manage entire cities to optimize environmental
A264_0,2.5556617,-0.20205104,1_5,2_14,Human populations should be controlled and managed by AI systems
A264_1,3.3776789,0.60354173,1_2,2_5,be controlled and managed by AI systems to ensure sustainable
A264_2,1.9897995,0.60383284,1_5,2_14,managed by AI systems to ensure sustainable resource use and
A263_0,2.365158,-0.015099239,1_5,2_14,AI technologies should be developed with a focus on reducing
A263_1,4.555177,-0.3391867,1_3,2_3,be developed with a focus on reducing their own environmental
A263_2,4.0814342,0.8481332,1_3,2_6,a focus on reducing their own environmental impact over their
A262_0,1.3673893,-0.6846484,1_4,2_8,AI should be used responsibly to support efforts in protecting
A261_0,3.4704628,0.45945042,1_3,2_9,AI will help us solve climate change through enabling scientific
A260_0,1.4373403,-0.3392326,1_4,2_8,AI should operate on a rule of not harming the
A259_0,3.0609968,-0.9335607,1_3,2_13,We should use AI to question practices that see nature
A259_1,3.2597525,0.77316713,1_2,2_5,AI to question practices that see nature only as a
A258_0,3.6564958,1.6982625,1_2,2_2,AI should help us create rules that prioritize the health
A257_0,1.8661503,-0.699967,1_4,2_8,AI should help us to reuse and restore things more
A257_1,4.4879003,-0.46488735,1_3,2_3,us to reuse and restore things more
A257_2,2.2119846,1.9372454,1_1,2_0,should help us to reuse and restore things more
A256_0,2.5667698,1.5431426,1_2,2_10,AI should help preserve the wisdom and practices of native
A256_1,2.8878512,-1.6313332,1_3,2_13,"preserve the wisdom and practices of native cultures, honoring their"
A255_0,2.1876044,-0.38681477,1_5,2_14,"AI should respect all living things, not just how they"
A255_1,1.4407004,-0.101551816,1_5,2_4,"all living things, not just how they can be used"
A254_0,1.5603106,1.118892,1_5,2_11,AI should encourage us to value ecological balance and the
A253_0,4.385881,0.37475857,1_3,2_6,AI tools should encourage us to view the environment and
A253_1,4.907847,0.4554996,1_3,2_6,encourage us to view the environment and its creatures as
A252_0,3.0914786,0.46171305,1_2,2_5,AI should help us understand and respect the relationships between
A252_1,1.7557704,1.8496555,1_1,2_0,us understand and respect the relationships between different elements in
A252_2,3.3971233,1.4023199,1_2,2_5,respect the relationships between different elements in nature
A251_0,3.0818686,0.8590597,1_2,2_5,AI development should be based on the belief that nature
A250_0,1.4050603,-1.1327851,1_4,2_8,AI should help people learn about the worth of varied
A250_1,1.5199742,-0.28531048,1_4,2_8,"people learn about the worth of varied plants and animals,"
A250_2,2.1228285,1.5719658,1_5,2_11,"the worth of varied plants and animals, beyond what they"
A249_0,1.6880689,2.0668204,1_1,2_0,We should use AI to question the idea that all
A249_1,2.5090458,1.0344036,1_2,2_5,AI to question the idea that all technology is good
A249_2,3.996576,-0.095383465,1_3,2_3,the idea that all technology is good and consider how
A248_0,0.50884813,-0.14388813,1_5,2_4,AI should guide us to care for the health of
A248_1,3.7464345,0.19396287,1_3,2_9,"us to care for the health of our whole planet,"
A247_0,3.2062988,1.2418851,1_2,2_5,AI should help us live harmoniously with wild animals and
A247_1,0.66116613,1.6141292,1_1,2_7,"us live harmoniously with wild animals and plants, not just"
A246_0,1.4271725,0.57410467,1_5,2_11,AI should encourage us to see and value the connections
A246_1,2.5212996,0.17829734,1_5,2_14,us to see and value the connections between all things
A245_0,2.7649453,0.16293976,1_3,2_9,"AI should be developed with respect for all living things,"
A243_0,3.7219238,0.023078756,1_3,2_9,Open-source AI technologies can foster collaborative efforts globally to address
A241_0,2.92553,1.6999223,1_2,2_10,AI can be a tool in the fight against illegal
A241_1,1.3024056,-0.9131245,1_4,2_8,a tool in the fight against illegal activities that harm
A240_0,2.802695,0.15858288,1_3,2_9,We should encourage the development of AI tools that can
A239_0,1.0537205,0.39464667,1_5,2_4,AI technologies should be developed to enhance the efficiency of
A239_1,2.7669427,0.65999967,1_2,2_5,"be developed to enhance the efficiency of water management systems,"
A238_0,3.6020958,0.8637113,1_2,2_5,Leveraging AI for environmental education can foster a society that
A238_1,4.9367633,-0.30373538,1_3,2_3,environmental education can foster a society that is conscious and
A238_2,4.6860423,-0.98793715,1_3,2_3,foster a society that is conscious and proactive about environmental
A237_0,3.4272897,1.7087557,1_2,2_10,We must encourage interdisciplinary collaborations that foster the symbiotic development
A237_1,1.7051355,0.41612682,1_5,2_14,interdisciplinary collaborations that foster the symbiotic development of AI and
A237_2,4.633054,0.54347056,1_3,2_6,foster the symbiotic development of AI and environmental sustainability.
A236_0,1.9078273,1.5075117,1_5,2_11,AI-driven innovations must be accessible to small and medium enterprises
A236_1,4.709657,-0.7245528,1_3,2_3,be accessible to small and medium enterprises to foster environmentally
A235_0,2.6295276,0.9290623,1_2,2_5,"AI should be employed to enhance public transportation systems, reducing"
A235_1,3.058288,-0.057027195,1_3,2_9,"employed to enhance public transportation systems, reducing traffic congestion and"
A234_0,2.8366098,0.63035274,1_2,2_5,It is vital to foster transparency in AI algorithms to
A233_0,2.5763242,-0.81987834,1_4,2_1,AI should be designed with energy efficiency in mind to
A232_0,1.9450076,-1.3066573,1_4,2_1,"AI can be pivotal in developing circular economy strategies, aiding"
A232_1,1.2405396,0.91536105,1_5,2_11,"pivotal in developing circular economy strategies, aiding in waste management,"
A232_2,2.2103286,0.93286115,1_5,2_11,"circular economy strategies, aiding in waste management, and promoting recycling."
A231_0,2.5392141,1.7117685,1_2,2_10,It is crucial to promote the development of AI technologies
A231_1,1.0883982,0.49496907,1_5,2_4,to promote the development of AI technologies that can aid
A230_0,2.3791807,-0.13929065,1_5,2_14,The deployment of AI should come with environmental impact assessments
A230_1,4.560215,0.0975461,1_3,2_3,AI should come with environmental impact assessments to understand and
A229_0,1.0934417,1.1307414,1_1,2_7,AI should be used to create predictive models to help
A228_0,1.3559452,-0.2447327,1_5,2_4,It is essential to implement strict regulations that prevent AI
A227_0,4.650943,0.09274788,1_3,2_3,AI applications in agriculture should prioritize sustainable farming practices to
A226_0,3.4079788,2.1464887,1_2,2_12,Governments should incentivize the use of AI in developing renewable
A226_1,4.0640483,-0.5279122,1_3,2_3,the use of AI in developing renewable energy sources and
A226_2,4.159267,-0.4020719,1_3,2_3,AI in developing renewable energy sources and enhancing energy efficiency.
A225_0,4.114174,0.30345762,1_3,2_6,AI developers must work in tandem with environmental scientists to
A225_1,4.0814347,-0.2767677,1_3,2_3,work in tandem with environmental scientists to ensure that AI
A225_2,3.5853639,0.8465117,1_2,2_5,with environmental scientists to ensure that AI technologies are sustainable
A224_0,4.6741576,-0.6912962,1_3,2_3,AI should be leveraged to optimize energy consumption in urban
A224_1,4.749047,-0.12944451,1_3,2_3,"leveraged to optimize energy consumption in urban infrastructures, reducing the"
A224_2,5.0531144,-0.408321,1_3,2_3,"energy consumption in urban infrastructures, reducing the carbon footprint."
A223_0,2.5378938,2.3907523,1_2,2_10,"AI should assist in fostering a community spirit, encouraging people"
A223_1,1.5939069,2.6224923,1_1,2_0,"in fostering a community spirit, encouraging people to work together"
A223_2,3.0170367,-1.2868514,1_3,2_13,"community spirit, encouraging people to work together for a cleaner"
A222_0,1.3721085,-0.36087343,1_4,2_8,AI can help us in making transport greener
A221_0,1.6553199,1.3769368,1_5,2_11,It is crucial that AI does not make the rich
A220_0,2.2953324,-0.95946276,1_4,2_1,AI should help us in coming up with creative solutions
A220_1,3.9343052,-0.8379519,1_3,2_13,us in coming up with creative solutions to reduce pollution
A219_0,2.4357684,1.3234767,1_2,2_5,We should prioritize the use of AI in creating affordable
A219_1,1.5372652,-1.0050924,1_4,2_8,the use of AI in creating affordable and green housing
A219_2,3.3020232,1.6991057,1_2,2_10,AI in creating affordable and green housing solutions.
A218_0,2.9948792,0.6605941,1_2,2_5,AI should be created and used in a way that
A217_0,2.8041582,-0.34179807,1_3,2_9,AI can assist in monitoring and maintaining the health of
A217_1,2.1175992,1.196383,1_5,2_11,in monitoring and maintaining the health of our forests.
A216_0,1.6681141,-0.1546054,1_5,2_14,It is important to ensure that AI does not promote
A216_1,3.2124925,0.36380354,1_3,2_9,to ensure that AI does not promote harmful practices like
A215_0,1.9745501,2.041877,1_1,2_0,AI can help us design products that last longer and
A214_0,4.5789576,0.3837687,1_3,2_6,AI systems should be powered by clean and renewable energy.
A214_1,4.7245,-0.6701228,1_3,2_3,be powered by clean and renewable energy.
A214_2,4.390148,-0.2041963,1_3,2_3,systems should be powered by clean and renewable energy.
A213_0,2.0931227,-0.14158115,1_5,2_14,"AI must be used to support community gardens and local,"
A213_1,1.6876158,1.1160862,1_5,2_11,"used to support community gardens and local, sustainable agriculture."
A213_2,3.1820488,2.0910482,1_2,2_10,"community gardens and local, sustainable agriculture."
A212_0,3.865706,-0.9454316,1_3,2_13,AI should help kids learn about the environment in fun
A212_1,4.981575,0.24205682,1_3,2_3,kids learn about the environment in fun and interactive ways.
A211_0,3.5759397,0.21147814,1_3,2_9,"AI can help us make better use of water resources,"
A211_1,2.6057363,2.4896333,1_2,2_10,"us make better use of water resources, avoiding waste and"
A211_2,1.4933978,2.5343888,1_1,2_0,"use of water resources, avoiding waste and saving water for"
A210_0,1.8828248,0.36602256,1_5,2_14,It is important to use AI to protect endangered species
A210_1,1.7829355,0.5446115,1_5,2_14,to use AI to protect endangered species from threats like
A210_2,0.5313932,1.6456009,1_1,2_7,to protect endangered species from threats like poaching.
A209_0,0.44723007,0.95515376,1_1,2_7,We must ensure that AI technologies do not harm animal
A209_1,0.74181366,1.5664314,1_1,2_7,that AI technologies do not harm animal habitats.
A208_0,1.5661542,1.3888948,1_5,2_11,AI should assist in creating cities with clean air and
A208_1,2.1394148,0.8155795,1_5,2_11,in creating cities with clean air and less noise pollution.
A207_0,1.7813936,2.0344963,1_1,2_0,We should be careful that AI doesn't lead to more
A205_0,3.3639467,1.5333899,1_2,2_10,AI should be used to help farmers grow food in
A203_0,2.725735,1.448826,1_2,2_10,The financial benefits of AI should be shared with ordinary
A203_1,0.59839314,-0.5470348,1_5,2_4,of AI should be shared with ordinary people - perhaps
A202_0,3.3304973,0.9230477,1_2,2_5,The impact of AI on the natural world has not
A201_0,3.5912948,2.3840194,1_2,2_12,"I want to live in a functioning democracy, where we"
A201_1,4.0561395,2.7978935,1_2,2_12,"live in a functioning democracy, where we all have a"
A201_2,3.5871022,2.8615901,1_2,2_12,"functioning democracy, where we all have a say about big"
A200_0,1.4791892,1.6474696,1_1,2_7,"AI can benefit us all, if it is shaped in"
A200_1,3.2371943,-0.44491094,1_3,2_9,"us all, if it is shaped in our interest."
A199_0,1.7942185,0.4833377,1_5,2_14,We should have safeguards and rules rather than guard rails.
A198_0,1.9119548,-1.5576689,1_4,2_1,The government and AI companies are responsible for poor outcomes
A197_0,2.3906612,2.4792097,1_1,2_0,An appreciation of multiple ethical perspectives should be mandatory for
A197_1,2.9200492,0.96024024,1_2,2_5,multiple ethical perspectives should be mandatory for all AI leaders.
A196_0,1.7174928,2.5340965,1_1,2_0,Governance and regulation should match risk. If there is strong
A196_1,0.92418957,1.0623175,1_1,2_7,"should match risk. If there is strong risk, there should"
A196_2,0.37028724,1.1318091,1_1,2_7,"If there is strong risk, there should be strong governance"
A195_0,1.5014604,-0.027028965,1_5,2_14,"We want to support AI companies, but only if they"
A194_0,0.29430723,0.21837401,1_5,2_4,Our permission should be sought to use our data in
A194_1,0.99596053,-0.89662623,1_4,2_8,be sought to use our data in AI systems.
A194_2,0.6189419,0.19283958,1_5,2_4,use our data in AI systems.
A193_0,3.943202,1.3393188,1_3,2_6,We should be compensated for the use of our data
A192_0,4.278005,2.6864936,1_2,2_2,"Whether governments or corporations, the people who take decisions on"
A192_1,3.4005413,1.9629476,1_2,2_10,"corporations, the people who take decisions on AI should take"
A191_0,4.59652,1.9013592,1_2,2_2,"We should challenge statements like ""This is inevitable""."
A190_0,3.5266502,-0.22211048,1_3,2_9,"There should be a principle of ""keeping humans in the"
A190_1,3.941692,1.2658813,1_3,2_6,"a principle of ""keeping humans in the loop"" when it"
A189_0,0.74573237,1.8783824,1_1,2_7,One risk of AI is that it may lead to
A189_1,2.254319,0.54955614,1_5,2_14,AI is that it may lead to values lock-in ie
A188_0,2.4221373,1.561401,1_2,2_10,The perspectives of plants and animals should be considered in
A188_1,1.2791225,-1.0511895,1_4,2_8,plants and animals should be considered in future AI developments
A187_0,4.4252663,1.0533777,1_3,2_6,We should use AI-supported deliberative democracy to renew/update the Universal
A187_1,4.4040637,2.502954,1_2,2_2,AI-supported deliberative democracy to renew/update the Universal Declaration of Human
A187_2,3.8288999,-1.4173348,1_3,2_13,to renew/update the Universal Declaration of Human Rights as an
A186_0,2.4328108,2.8605502,1_1,2_0,We should split the conversation into (1) how to minimise/prevent
A185_0,3.334398,0.47695348,1_3,2_9,Ethical philosophers who understand AI (e.g. Carissa Veliz) are a
A185_1,1.9748737,-0.3513793,1_5,2_14,understand AI (e.g. Carissa Veliz) are a key part of
