arg-id,argument
A272_2,"technologies that benefit the wealthiest in society, as they will"
A271_0,We should replace local governance structures with AI systems managed
A270_0,We should permit the unrestricted collection & sale of individuals'
A270_1,the unrestricted collection & sale of individuals' personal data to
A269_0,"We should use AI to enhance the abilities of humans,"
A269_1,"AI to enhance the abilities of humans, creating a class"
A268_0,"Governments should implement strict surveillance using AI to enforce regulations,"
A268_1,"strict surveillance using AI to enforce regulations, even at the"
A267_0,AI should be used to create genetically modified organisms (GMOs)
A267_1,used to create genetically modified organisms (GMOs) to address food
A267_2,"genetically modified organisms (GMOs) to address food scarcity, even if"
A266_0,We should prioritize the development of AI technologies even if
A266_1,the development of AI technologies even if it results in
A265_0,We should allow AI to control and manage entire cities
A265_1,AI to control and manage entire cities to optimize environmental
A264_0,Human populations should be controlled and managed by AI systems
A264_1,be controlled and managed by AI systems to ensure sustainable
A264_2,managed by AI systems to ensure sustainable resource use and
A263_0,AI technologies should be developed with a focus on reducing
A263_1,be developed with a focus on reducing their own environmental
A263_2,a focus on reducing their own environmental impact over their
A262_0,AI should be used responsibly to support efforts in protecting
A261_0,AI will help us solve climate change through enabling scientific
A260_0,AI should operate on a rule of not harming the
A259_0,We should use AI to question practices that see nature
A259_1,AI to question practices that see nature only as a
A258_0,AI should help us create rules that prioritize the health
A257_0,AI should help us to reuse and restore things more
A257_1,us to reuse and restore things more
A257_2,should help us to reuse and restore things more
A256_0,AI should help preserve the wisdom and practices of native
A256_1,"preserve the wisdom and practices of native cultures, honoring their"
A255_0,"AI should respect all living things, not just how they"
A255_1,"all living things, not just how they can be used"
A254_0,AI should encourage us to value ecological balance and the
A253_0,AI tools should encourage us to view the environment and
A253_1,encourage us to view the environment and its creatures as
A252_0,AI should help us understand and respect the relationships between
A252_1,us understand and respect the relationships between different elements in
A252_2,respect the relationships between different elements in nature
A251_0,AI development should be based on the belief that nature
A250_0,AI should help people learn about the worth of varied
A250_1,"people learn about the worth of varied plants and animals,"
A250_2,"the worth of varied plants and animals, beyond what they"
A249_0,We should use AI to question the idea that all
A249_1,AI to question the idea that all technology is good
A249_2,the idea that all technology is good and consider how
A248_0,AI should guide us to care for the health of
A248_1,"us to care for the health of our whole planet,"
A247_0,AI should help us live harmoniously with wild animals and
A247_1,"us live harmoniously with wild animals and plants, not just"
A246_0,AI should encourage us to see and value the connections
A246_1,us to see and value the connections between all things
A245_0,"AI should be developed with respect for all living things,"
A243_0,Open-source AI technologies can foster collaborative efforts globally to address
A241_0,AI can be a tool in the fight against illegal
A241_1,a tool in the fight against illegal activities that harm
A240_0,We should encourage the development of AI tools that can
A239_0,AI technologies should be developed to enhance the efficiency of
A239_1,"be developed to enhance the efficiency of water management systems,"
A238_0,Leveraging AI for environmental education can foster a society that
A238_1,environmental education can foster a society that is conscious and
A238_2,foster a society that is conscious and proactive about environmental
A237_0,We must encourage interdisciplinary collaborations that foster the symbiotic development
A237_1,interdisciplinary collaborations that foster the symbiotic development of AI and
A237_2,foster the symbiotic development of AI and environmental sustainability.
A236_0,AI-driven innovations must be accessible to small and medium enterprises
A236_1,be accessible to small and medium enterprises to foster environmentally
A235_0,"AI should be employed to enhance public transportation systems, reducing"
A235_1,"employed to enhance public transportation systems, reducing traffic congestion and"
A234_0,It is vital to foster transparency in AI algorithms to
A233_0,AI should be designed with energy efficiency in mind to
A232_0,"AI can be pivotal in developing circular economy strategies, aiding"
A232_1,"pivotal in developing circular economy strategies, aiding in waste management,"
A232_2,"circular economy strategies, aiding in waste management, and promoting recycling."
A231_0,It is crucial to promote the development of AI technologies
A231_1,to promote the development of AI technologies that can aid
A230_0,The deployment of AI should come with environmental impact assessments
A230_1,AI should come with environmental impact assessments to understand and
A229_0,AI should be used to create predictive models to help
A228_0,It is essential to implement strict regulations that prevent AI
A227_0,AI applications in agriculture should prioritize sustainable farming practices to
A226_0,Governments should incentivize the use of AI in developing renewable
A226_1,the use of AI in developing renewable energy sources and
A226_2,AI in developing renewable energy sources and enhancing energy efficiency.
A225_0,AI developers must work in tandem with environmental scientists to
A225_1,work in tandem with environmental scientists to ensure that AI
A225_2,with environmental scientists to ensure that AI technologies are sustainable
A224_0,AI should be leveraged to optimize energy consumption in urban
A224_1,"leveraged to optimize energy consumption in urban infrastructures, reducing the"
A224_2,"energy consumption in urban infrastructures, reducing the carbon footprint."
A223_0,"AI should assist in fostering a community spirit, encouraging people"
A223_1,"in fostering a community spirit, encouraging people to work together"
A223_2,"community spirit, encouraging people to work together for a cleaner"
A222_0,AI can help us in making transport greener
A221_0,It is crucial that AI does not make the rich
A220_0,AI should help us in coming up with creative solutions
A220_1,us in coming up with creative solutions to reduce pollution
A219_0,We should prioritize the use of AI in creating affordable
A219_1,the use of AI in creating affordable and green housing
A219_2,AI in creating affordable and green housing solutions.
A218_0,AI should be created and used in a way that
A217_0,AI can assist in monitoring and maintaining the health of
A217_1,in monitoring and maintaining the health of our forests.
A216_0,It is important to ensure that AI does not promote
A216_1,to ensure that AI does not promote harmful practices like
A215_0,AI can help us design products that last longer and
A214_0,AI systems should be powered by clean and renewable energy.
A214_1,be powered by clean and renewable energy.
A214_2,systems should be powered by clean and renewable energy.
A213_0,"AI must be used to support community gardens and local,"
A213_1,"used to support community gardens and local, sustainable agriculture."
A213_2,"community gardens and local, sustainable agriculture."
A212_0,AI should help kids learn about the environment in fun
A212_1,kids learn about the environment in fun and interactive ways.
A211_0,"AI can help us make better use of water resources,"
A211_1,"us make better use of water resources, avoiding waste and"
A211_2,"use of water resources, avoiding waste and saving water for"
A210_0,It is important to use AI to protect endangered species
A210_1,to use AI to protect endangered species from threats like
A210_2,to protect endangered species from threats like poaching.
A209_0,We must ensure that AI technologies do not harm animal
A209_1,that AI technologies do not harm animal habitats.
A208_0,AI should assist in creating cities with clean air and
A208_1,in creating cities with clean air and less noise pollution.
A207_0,We should be careful that AI doesn't lead to more
A205_0,AI should be used to help farmers grow food in
A203_0,The financial benefits of AI should be shared with ordinary
A203_1,of AI should be shared with ordinary people - perhaps
A202_0,The impact of AI on the natural world has not
A201_0,"I want to live in a functioning democracy, where we"
A201_1,"live in a functioning democracy, where we all have a"
A201_2,"functioning democracy, where we all have a say about big"
A200_0,"AI can benefit us all, if it is shaped in"
A200_1,"us all, if it is shaped in our interest."
A199_0,We should have safeguards and rules rather than guard rails.
A198_0,The government and AI companies are responsible for poor outcomes
A197_0,An appreciation of multiple ethical perspectives should be mandatory for
A197_1,multiple ethical perspectives should be mandatory for all AI leaders.
A196_0,Governance and regulation should match risk. If there is strong
A196_1,"should match risk. If there is strong risk, there should"
A196_2,"If there is strong risk, there should be strong governance"
A195_0,"We want to support AI companies, but only if they"
A194_0,Our permission should be sought to use our data in
A194_1,be sought to use our data in AI systems.
A194_2,use our data in AI systems.
A193_0,We should be compensated for the use of our data
A192_0,"Whether governments or corporations, the people who take decisions on"
A192_1,"corporations, the people who take decisions on AI should take"
A191_0,"We should challenge statements like ""This is inevitable""."
A190_0,"There should be a principle of ""keeping humans in the"
A190_1,"a principle of ""keeping humans in the loop"" when it"
A189_0,One risk of AI is that it may lead to
A189_1,AI is that it may lead to values lock-in ie
A188_0,The perspectives of plants and animals should be considered in
A188_1,plants and animals should be considered in future AI developments
A187_0,We should use AI-supported deliberative democracy to renew/update the Universal
A187_1,AI-supported deliberative democracy to renew/update the Universal Declaration of Human
A187_2,to renew/update the Universal Declaration of Human Rights as an
A186_0,We should split the conversation into (1) how to minimise/prevent
A185_0,Ethical philosophers who understand AI (e.g. Carissa Veliz) are a
A185_1,understand AI (e.g. Carissa Veliz) are a key part of
A184_0,"Should Phonons be part of future AI, this should be"
A184_1,"part of future AI, this should be widely known"
A183_0,We are unlikely to ever agree on global AI regulation
A182_0,It's too late to think about AI replacing us or
A182_1,"to think about AI replacing us or not, either we"
A180_0,"We need a de facto World Government initiated by G7,"
A180_1,"de facto World Government initiated by G7, incorporating members from"
A180_2,"Government initiated by G7, incorporating members from NATO, EU, the"
A181_0,We should make a Global Welfare State to mitigate the
A179_0,We should Create Global AI Governance Agency (GAIGA) under the
A179_1,Global AI Governance Agency (GAIGA) under the mandate of the
A178_0,We need to create one Superintelligence Programme managed by One-AI
A177_0,We should create One-AI Joint Venture Company to consolidate the
A176_0,We need to create Global AI Control Agency (GAICA) to
A176_1,create Global AI Control Agency (GAICA) to control AI development
A175_0,We should create a Global AI Regulation Authority (GAIRA) to
A175_1,a Global AI Regulation Authority (GAIRA) to regulate the use
A175_2,Regulation Authority (GAIRA) to regulate the use of AI by
A174_0,We should undertake a comprehensive deep and fast reform of
A173_0,We need to adjust world governance towards a civilisational shift
A173_1,adjust world governance towards a civilisational shift
A173_2,need to adjust world governance towards a civilisational shift
A152_0,Setup permanent on-going support for AI Safety Summits as virtual
A152_1,support for AI Safety Summits as virtual monthly global conferences
A152_2,Safety Summits as virtual monthly global conferences supported by a
A172_0,"We need to discuss how politics , government and law"
A172_1,"discuss how politics , government and law will be affected"
A171_0,How will AI and its spin-offs affect politics and law?
A171_1,and its spin-offs affect politics and law? Our current systems
A170_0,People fear what they do not understand. Developing a better
A170_1,they do not understand. Developing a better comprehensive narrative on
A169_0,The epistemic risks of AI are a projection of fears
A169_1,of AI are a projection of fears of our own
A169_2,a projection of fears of our own collective shadow. AI
A168_0,Governments cannot fight against this huge technological revolution. They must
A168_1,against this huge technological revolution. They must instead adapt current
A168_2,technological revolution. They must instead adapt current systems to the
A167_0,AI companions should not be used as a replacement strategy
A167_1,not be used as a replacement strategy for real human
A167_2,as a replacement strategy for real human contact in our
A166_0,Regulators must establish minimum standards of explainability ('black box' problem)
A166_1,minimum standards of explainability ('black box' problem) and ban the
A120_0,We need quality regulation that stops abuses and dangerous developments
A120_1,regulation that stops abuses and dangerous developments but is fast
A165_0,"As we expand AI, we collectively redefine what counts as"
A165_1,"AI, we collectively redefine what counts as knowledge in our"
A164_0,Like most technologies that are powerful but dangerous if used
A164_1,"that are powerful but dangerous if used incorrectly, users should"
A137_0,It is naive to expect that an arms race for
A137_1,to expect that an arms race for AI supremacy should
A137_2,an arms race for AI supremacy should not be allowed.
A151_0,It is important that AI governance does not lead to
A151_1,"that AI governance does not lead to confrontation between states,"
A151_2,"does not lead to confrontation between states, AI should be"
A153_0,Is AI really the future or is something too overhyped??
A153_1,the future or is something too overhyped??
A159_0,Inter-state/national AI forums should focus first and foremost on applications
A160_0,More attention should be given to risks in psychological exploitation
A160_1,be given to risks in psychological exploitation of consumers and
A163_0,Artificial general intelligence (AGI) should make easier life easier but
A163_1,(AGI) should make easier life easier but we should aim
A162_0,I propose AI should be folded into a global-scale Open
A161_0,"Use of publicly available data to train AI is inequitable,"
A161_1,"available data to train AI is inequitable, and will require"
A161_2,"train AI is inequitable, and will require copyright reform to"
A158_0,AI regulation will be contingent on better regulation of mass
A157_0,We have reached a point where technology is evolving much
A157_1,a point where technology is evolving much faster than humanity
A156_0,My biggest worry is what entities can be trusted with
A156_1,is what entities can be trusted with controlling such powerful
A156_2,"can be trusted with controlling such powerful technology, especially given"
A155_0,AI is the way forward for global cooperation in international
A154_0,"Local CSOs need long term, predictable funding for capacity and"
A154_1,"long term, predictable funding for capacity and consultation to ensure"
A154_2,funding for capacity and consultation to ensure global majority views
A150_0,Command 10. Create a Global Welfare State to mitigate the
A150_1,a Global Welfare State to mitigate the challenges posed by
A149_0,"Command 9.Create a de facto World Government initiated by G7,"
A149_1,"de facto World Government initiated by G7, incorporating members from"
A149_2,"Government initiated by G7, incorporating members from NATO, EU, the"
A148_0,Command 8.Create Global AI Governance Agency (GAIGA) under the mandate
A148_1,AI Governance Agency (GAIGA) under the mandate of the G7
A147_0,Commandment 7.Create one Superintelligence Programme managed by One-AI JV company
A146_0,Commandment 6.Create One-AI Joint Venture Company to consolidate the most
A146_1,Joint Venture Company to consolidate the most advanced AI development
A145_0,Commandment 5.Create Global AI Control Agency (GAICA) to control AI
A145_1,AI Control Agency (GAICA) to control AI development process not
A144_0,Commmandment 4. Create Global AI Regulation Authority (GAIRA) to regulate
A143_0,Commandment 3. Retain control over AI governance beyond 2030
A142_0,Commandment 2. Undertake a comprehensive deep and fast reform of
A141_0,Commandment 1. Adjust the world governance to a civilisational shift
A141_1,the world governance to a civilisational shift
A141_2,1. Adjust the world governance to a civilisational shift
A140_0,We need supper fast global Program of developing friendly Superintelligence
A140_1,fast global Program of developing friendly Superintelligence by liberal democracies
A140_2,of developing friendly Superintelligence by liberal democracies based on kind
A139_0,"Anonymous said 'Agenda should ask how AI might supplement, but"
A139_1,"should ask how AI might supplement, but not replace us'."
A138_0,We are unlikely to ever agree on global AI regulation
A136_0,AI is not only a new type of tecnhology. Most
A135_0,All AI programmes must be coded to self-identity as AI
A134_0,It's too late to democratise AI development. Deveop one single
A134_1,to democratise AI development. Deveop one single superintelligent AI under
A133_0,Democratisation of the development and deployment of AI woudl only
A133_1,development and deployment of AI woudl only be possibel if
A132_0,It is naive to hope we can still filter which
A131_0,Pace of AI development should be dictated by the public
A131_1,development should be dictated by the public but realistically it
A130_0,"Quite soone we may have AGI, which would be more"
A129_0,"Advanced AI should be referred as 'it', since only a"
A128_0,Is it helpful to think of AI as an 'is'
A128_1,to think of AI as an 'is' or as an
A127_0,"With the unlimited potential for AI, there has to be"
A126_0,The only way to police the development and use of
A125_0,Data assets must be made more widely accessible to ensure
A125_1,be made more widely accessible to ensure AI can be
A125_2,widely accessible to ensure AI can be widely developed (democratised);
A124_0,Data aggregation is essential to (most) AI training & monitoring.
A123_0,The existence of capable AI means increasing the concentration of
A122_0,In a manner similar to companies we should accept that
A122_1,similar to companies we should accept that AIs of sufficient
A122_2,we should accept that AIs of sufficient capability deserve rights
A121_0,"Should Phonons be part of future AI, will this be"
A121_1,"part of future AI, will this be useful, or generally"
A121_2,"AI, will this be useful, or generally known."
A119_0,"AI will enhance equity and inclusion, within a context of"
A119_1,"equity and inclusion, within a context of community value, improving"
A117_0,AI has the potential to create a more equitable world
A117_1,potential to create a more equitable world if approached critically
A117_2,a more equitable world if approached critically & ethically. I'd
A118_0,We need policy provisions for the design and methods by
A118_1,provisions for the design and methods by which AI is
A116_0,We need policy provisions for the design and methods by
A116_1,provisions for the design and methods by which AI is
A116_2,design and methods by which AI is developed to ensure
A115_0,There are cases in which AI should not be implemented
A115_1,in which AI should not be implemented or used due
A115_2,should not be implemented or used due to significant systemic
A114_0,The US should establish a NIST or FDA-style federal agency
A113_0,We should talk about how OpenAI is interfering with non-profit
A112_0,We are unlikely to ever agree on global AI regulation
A112_1,to ever agree on global AI regulation due to cultural
A112_2,"on global AI regulation due to cultural differences, and should"
A111_0,"To mitigate AI existential risks we must also research how,"
A111_1,"existential risks we must also research how, and prevent that,"
A110_0,There is no such thing as safe open source ai.
A110_1,such thing as safe open source ai. Any safety measures
A109_0,We need cooperative-ownership of AI models: the missing piece is
A109_1,"of AI models: the missing piece is not regulation, but"
A109_2,"the missing piece is not regulation, but ownership."
A108_0,AI development should be targeted at clearly demarcated contexts and
A108_1,be targeted at clearly demarcated contexts and the communities in
A108_2,clearly demarcated contexts and the communities in those contexts involved
A107_0,International opinion and deliberation on AI is fundamentally risky unless
A106_0,"DEI-based framings of this debate are silly, just as they"
A106_1,"this debate are silly, just as they would be if"
A105_0,"I think that, on the whole, the West is more"
A104_0,The biggest AI-related geopolitical risk is the US advancing AI
A104_1,"geopolitical risk is the US advancing AI first, and China"
A104_2,"the US advancing AI first, and China either copying or"
A103_0,Western arguments that we are in an AI race against
A103_1,we are in an AI race against China and therefore
A102_0,"Short-term AI risks to economic and social inequalities are linked,"
A102_1,"to economic and social inequalities are linked, and should be"
A99_0,The pace of AI development should be dictated by the
A99_1,"AI development should be dictated by the public, not companies"
A99_2,"be dictated by the public, not companies"
A101_0,The public have sufficient familiarity with the domains affected by
A100_0,AI does not pose substantially different challenges to those we've
A98_0,We should be more worried about AI arms races between
A98_1,more worried about AI arms races between corporations than ones
A97_0,More attention should be paid to short-term AI risks related
A97_1,"be paid to short-term AI risks related to economic inequality,"
A97_2,"short-term AI risks related to economic inequality, relative to social"
A96_0,The way the media report on AI is driving a
A95_0,We should think about many schools of moral philosophy when
A95_1,about many schools of moral philosophy when developing AI
A94_0,Communities affected by use of AI tools must have a
A94_1,use of AI tools must have a say in decisions
A94_2,tools must have a say in decisions about their development
A85_0,AI development should not be accelerated on the fear that
A92_0,AI regulatory bodies should be created to rapidly respond to
A92_1,should be created to rapidly respond to novel less-than-existential AI
A92_2,to rapidly respond to novel less-than-existential AI alignment failures while
A93_0,"More safety checks, peer review, and scrutiny from regulatory bodies,"
A91_0,"If mass unemployment ensues from AI, expanding existing welfare programs"
A91_1,"ensues from AI, expanding existing welfare programs is preferable to"
A90_0,"An AI development pause is good for its own sake,"
A90_1,"pause is good for its own sake, even if the"
A90_2,"for its own sake, even if the time is not"
A89_0,"AI alignment failures are better to happen sooner, with less"
A89_1,"are better to happen sooner, with less powerful systems, than"
A88_0,"Artificial general intelligence is likely to be created before 2030,"
A88_1,"is likely to be created before 2030, assuming business-as-usual (no"
A88_2,"be created before 2030, assuming business-as-usual (no major regulation, no"
A87_0,"Successfully aligned AI will use many schools of moral philosophy,"
A87_1,"will use many schools of moral philosophy, not just one."
A87_2,"schools of moral philosophy, not just one."
A86_0,A world of many AI superintelligences is preferable to a
A86_1,many AI superintelligences is preferable to a world with only
A86_2,is preferable to a world with only one AI superintelligence.
A84_0,Among the goals of an aligned AI superintelligence should be
A84_1,of an aligned AI superintelligence should be the material prosperity
A83_0,The creation of sentient AI should be avoided if non-sentient
A83_1,sentient AI should be avoided if non-sentient AI of identical
A82_0,"The material costs of computing and AI (electricity, water, land,"
A82_1,"of computing and AI (electricity, water, land, ...), and who"
A82_2,"AI (electricity, water, land, ...), and who gets to decide"
A81_0,"On their current development and release paradigm, LLMs are far"
A81_1,"development and release paradigm, LLMs are far more likely to"
A81_2,"paradigm, LLMs are far more likely to pollute and degrade"
A80_0,There needs to be a great shift towards funding/investing in
A79_0,"AI's advantages and weaknesses (Better memory, faster thinking,Heavy energy dependence)"
A78_0,The most important consideration is stopping AI from killing all
A77_0,"European policy leaders are anti-immigrant, anti-semitic, and anti-American and cannot"
A77_1,"are anti-immigrant, anti-semitic, and anti-American and cannot be trusted to"
A76_0,The international community is untrustworthy and has demonstrable biases that
A76_1,is untrustworthy and has demonstrable biases that should not be
A76_2,has demonstrable biases that should not be carried forward to
A75_0,Global coordination is infeasible because it would REQUIRE embedding authoritarian
A75_1,infeasible because it would REQUIRE embedding authoritarian Chinese values in
A74_0,Global coordination is infeasible because it would allow authoritarian values
A74_1,infeasible because it would allow authoritarian values to infect the
A74_2,would allow authoritarian values to infect the values of AI
A73_0,"An agenda should ask how AI might supplement, but not"
A73_1,"ask how AI might supplement, but not replace us"
A72_0,Overreliance on AI may exacerbate a less skilled & less
A72_1,may exacerbate a less skilled & less engaged citizenry
A71_0,An arms race for AI supremacy cannot be allowed
A71_1,for AI supremacy cannot be allowed
A71_2,race for AI supremacy cannot be allowed
A70_0,"We must solve for a sustainable, adaptive, & effective global"
A69_0,"Should think about how AI may enable global coordination solutions,"
A69_1,"how AI may enable global coordination solutions, enabling major states/institutions"
A68_0,We should consider how to incentivize AI for common good
A68_1,"how to incentivize AI for common good (better democracy, less"
A67_0,"A business imperative (i.e., profits, growth) must not be the"
A67_1,"(i.e., profits, growth) must not be the driving force of"
A67_2,must not be the driving force of AI innovation
A63_0,Small-world networks provide a precise way of describing how to
A54_0,"How might AI be used to enable global coordination solutions,"
A54_1,"be used to enable global coordination solutions, enabling major states/institutions"
A54_2,"enable global coordination solutions, enabling major states/institutions to cooperate against"
A66_0,"Governments should introduce mandatory reporting requirements for foundation model developers,"
A66_1,"mandatory reporting requirements for foundation model developers, e.g. at the"
A66_2,"for foundation model developers, e.g. at the start or end"
A65_0,"Governments should consider public investment in, and development of, AI"
A65_1,"public investment in, and development of, AI to steer applications"
A64_0,"Governments should clarify liability law, so that legal & financial"
A64_1,"liability law, so that legal & financial liability for AI"
A64_2,that legal & financial liability for AI risk is distributed
A62_0,"Asking AI to seek truth may provide some safety, but"
